mps_file,time_taken_sec,solution_found,objective_value,iterations,hostname
25fv47.mps,0.10487675666809082,False,,,c05
80bau3b.mps,0.19712567329406738,False,,,c05
adlittle.mps,0.0036115646362304688,False,,,c05
afiro.mps,0.0012624263763427734,False,,,c05
agg.mps,0.0019030570983886719,False,,,c05
agg2.mps,0.003019571304321289,False,,,c05
agg3.mps,0.0027735233306884766,False,,,c05
bandm.mps,0.0125885009765625,True,-158.62801845012,482.0,c05
beaconfd.mps,0.0018243789672851562,False,,,c05
blend.mps,0.001519918441772461,False,,,c05
bnl1.mps,0.010323762893676758,False,,,c05
bnl2.mps,0.07381558418273926,False,,,c05
boeing1.mps,0.003242969512939453,False,,,c05
boeing2.mps,0.0014328956604003906,False,,,c05
bore3d.mps,0.002031564712524414,False,,,c05
brandy.mps,0.0047757625579833984,True,1836.307400661319,153.0,c05
capri.mps,0.00580906867980957,False,,,c05
cre-a.mps,0.23620343208312988,False,,,c05
cre-b.mps,13.554036855697632,False,,,c05
cre-c.mps,0.15230560302734375,False,,,c05
cre-d.mps,9.883367538452148,False,,,c05
cycle.mps,0.05283188819885254,True,0.0,4.0,c05
czprob.mps,0.026688814163208008,False,,,c05
d2q06c.mps,0.09454774856567383,False,,,c05
d6cube.mps,0.1058647632598877,True,315.4916666666669,433.0,c05
degen2.mps,0.010445117950439453,False,,,c05
degen3.mps,0.11812186241149902,False,,,c05
dfl001.mps,3.9578235149383545,True,11025321.19716437,13144.0,c05
e226.mps,0.002673625946044922,False,,,c05
etamacro.mps,0.003514528274536133,False,,,c05
fffff800.mps,0.005649566650390625,False,,,c05
finnis.mps,0.0036406517028808594,False,,,c05
fit1d.mps,0.009929180145263672,True,-10378.5,23.0,c05
fit1p.mps,0.04645681381225586,True,9146.378092420937,860.0,c05
fit2d.mps,0.10582351684570312,True,-77037.54999999997,53.0,c05
fit2p.mps,1.3314309120178223,True,68464.2932938321,4907.0,c05
forplan.mps,0.0027000904083251953,False,,,c05
ganges.mps,0.01871323585510254,False,,,c05
gfrd-pnc.mps,0.012610912322998047,True,7362636.6349874465,397.0,c05
greenbea.mps,0.1191105842590332,False,,,c05
greenbeb.mps,0.1098470687866211,False,,,c05
grow15.mps,0.03787374496459961,True,-106870941.29357538,1198.0,c05
grow22.mps,0.07690668106079102,True,-160834336.48256284,1934.0,c05
grow7.mps,0.011236429214477539,True,-47787811.81471151,441.0,c05
israel.mps,0.0018546581268310547,False,,,c05
kb2.mps,0.001748800277709961,True,0.0,68.0,c05
ken-07.mps,0.1047053337097168,True,-679520443.3816869,1242.0,c05
ken-11.mps,2.8431308269500732,True,-6972382262.519967,8786.0,c05
ken-13.mps,10.49168586730957,True,-10257394789.482454,17162.0,c05
lotfi.mps,0.004882335662841797,True,252.8914553912827,119.0,c05
maros-r7.mps,0.8592205047607422,True,1497185.1664796446,2457.0,c05
maros.mps,0.012099504470825195,False,,,c05
modszk1.mps,0.02350306510925293,True,109301.46068426793,548.0,c05
nesm.mps,0.01923680305480957,False,,,c05
osa-07.mps,0.24605393409729004,False,,,c05
osa-14.mps,1.3437986373901367,False,,,c05
pds-02.mps,0.19217824935913086,False,,,c05
pds-06.mps,2.7317888736724854,False,,,c05
pds-10.mps,8.131632804870605,False,,,c05
perold.mps,0.009176969528198242,False,,,c05
pilot.ja.mps,0.01689434051513672,False,,,c05
pilot.mps,0.046504974365234375,False,,,c05
pilot.we.mps,0.018527984619140625,False,,,c05
pilot4.mps,0.005438566207885742,False,,,c05
pilot87.mps,0.09302115440368652,False,,,c05
pilotnov.mps,0.01884174346923828,False,,,c05
qap12.mps,84.23564720153809,True,522.8943505590606,254330.0,c05
qap15.mps,1606.9054818153381,False,,,c05
qap8.mps,0.4894077777862549,True,203.49999999999972,7215.0,c05
recipe.mps,0.0024504661560058594,True,-266.616,22.0,c05
sc105.mps,0.0019941329956054688,False,,,c05
sc205.mps,0.003708362579345703,False,,,c05
sc50a.mps,0.0014374256134033203,False,,,c05
sc50b.mps,0.001310586929321289,False,,,c05
scagr25.mps,0.0033712387084960938,False,,,c05
scagr7.mps,0.0012674331665039062,False,,,c05
scfxm1.mps,0.002991914749145508,False,,,c05
scfxm2.mps,0.007428646087646484,False,,,c05
scfxm3.mps,0.013439416885375977,False,,,c05
scorpion.mps,0.003895998001098633,False,,,c05
scrs8.mps,0.01100611686706543,True,-73.58730887600026,109.0,c05
scsd1.mps,0.004922151565551758,True,8.666666674333364,86.0,c05
scsd6.mps,0.011438131332397461,True,50.500000078262296,270.0,c05
scsd8.mps,0.05449247360229492,True,904.9999999254643,1054.0,c05
sctap1.mps,0.003773212432861328,True,0.0,0.0,c05
sctap2.mps,0.021834135055541992,True,0.0,0.0,c05
sctap3.mps,0.036945343017578125,True,0.0,0.0,c05
seba.mps,0.006193399429321289,False,,,c05
share1b.mps,0.0029714107513427734,False,,,c05
share2b.mps,0.001760244369506836,False,,,c05
shell.mps,0.019910097122192383,True,1209525036.0,326.0,c05
ship04l.mps,0.009764909744262695,False,,,c05
ship04s.mps,0.0068433284759521484,False,,,c05
