mps_file,time_taken_sec,solution_found,objective_value,iterations,hostname
25fv47.mps,0.104876757,FALSE,,,c05
80bau3b.mps,0.197125673,FALSE,,,c05
adlittle.mps,0.003611565,FALSE,,,c05
afiro.mps,0.001262426,FALSE,,,c05
agg.mps,0.001903057,FALSE,,,c05
agg2.mps,0.003019571,FALSE,,,c05
agg3.mps,0.002773523,FALSE,,,c05
bandm.mps,0.012588501,TRUE,-158.6280185,482,c05
beaconfd.mps,0.001824379,FALSE,,,c05
blend.mps,0.001519918,FALSE,,,c05
bnl1.mps,0.010323763,FALSE,,,c05
bnl2.mps,0.073815584,FALSE,,,c05
boeing1.mps,0.00324297,FALSE,,,c05
boeing2.mps,0.001432896,FALSE,,,c05
bore3d.mps,0.002031565,FALSE,,,c05
brandy.mps,0.004775763,TRUE,1836.307401,153,c05
capri.mps,0.005809069,FALSE,,,c05
cre-a.mps,0.236203432,FALSE,,,c05
cre-b.mps,13.55403686,FALSE,,,c05
cre-c.mps,0.152305603,FALSE,,,c05
cre-d.mps,9.883367538,FALSE,,,c05
cycle.mps,0.052831888,TRUE,0,4,c05
czprob.mps,0.026688814,FALSE,,,c05
d2q06c.mps,0.094547749,FALSE,,,c05
d6cube.mps,0.105864763,TRUE,315.4916667,433,c05
degen2.mps,0.010445118,FALSE,,,c05
degen3.mps,0.118121862,FALSE,,,c05
dfl001.mps,3.957823515,TRUE,11025321.2,13144,c05
e226.mps,0.002673626,FALSE,,,c05
etamacro.mps,0.003514528,FALSE,,,c05
fffff800.mps,0.005649567,FALSE,,,c05
finnis.mps,0.003640652,FALSE,,,c05
fit1d.mps,0.00992918,TRUE,-10378.5,23,c05
fit1p.mps,0.046456814,TRUE,9146.378092,860,c05
fit2d.mps,0.105823517,TRUE,-77037.55,53,c05
fit2p.mps,1.331430912,TRUE,68464.29329,4907,c05
forplan.mps,0.00270009,FALSE,,,c05
ganges.mps,0.018713236,FALSE,,,c05
gfrd-pnc.mps,0.012610912,TRUE,7362636.635,397,c05
greenbea.mps,0.119110584,FALSE,,,c05
greenbeb.mps,0.109847069,FALSE,,,c05
grow15.mps,0.037873745,TRUE,-106870941.3,1198,c05
grow22.mps,0.076906681,TRUE,-160834336.5,1934,c05
grow7.mps,0.011236429,TRUE,-47787811.81,441,c05
israel.mps,0.001854658,FALSE,,,c05
kb2.mps,0.0017488,TRUE,0,68,c05
ken-07.mps,0.104705334,TRUE,-679520443.4,1242,c05
ken-11.mps,2.843130827,TRUE,-6972382263,8786,c05
ken-13.mps,10.49168587,TRUE,-10257394789,17162,c05
lotfi.mps,0.004882336,TRUE,252.8914554,119,c05
maros-r7.mps,0.859220505,TRUE,1497185.166,2457,c05
maros.mps,0.012099504,FALSE,,,c05
modszk1.mps,0.023503065,TRUE,109301.4607,548,c05
nesm.mps,0.019236803,FALSE,,,c05
osa-07.mps,0.246053934,FALSE,,,c05
osa-14.mps,1.343798637,FALSE,,,c05
pds-02.mps,0.192178249,FALSE,,,c05
pds-06.mps,2.731788874,FALSE,,,c05
pds-10.mps,8.131632805,FALSE,,,c05
perold.mps,0.00917697,FALSE,,,c05
pilot.ja.mps,0.016894341,FALSE,,,c05
pilot.mps,0.046504974,FALSE,,,c05
pilot.we.mps,0.018527985,FALSE,,,c05
pilot4.mps,0.005438566,FALSE,,,c05
pilot87.mps,0.093021154,FALSE,,,c05
pilotnov.mps,0.018841743,FALSE,,,c05
qap12.mps,84.2356472,TRUE,522.8943506,254330,c05
qap15.mps,1606.905482,FALSE,,,c05
qap8.mps,0.489407778,TRUE,203.5,7215,c05
recipe.mps,0.002450466,TRUE,-266.616,22,c05
sc105.mps,0.001994133,FALSE,,,c05
sc205.mps,0.003708363,FALSE,,,c05
sc50a.mps,0.001437426,FALSE,,,c05
sc50b.mps,0.001310587,FALSE,,,c05
scagr25.mps,0.003371239,FALSE,,,c05
scagr7.mps,0.001267433,FALSE,,,c05
scfxm1.mps,0.002991915,FALSE,,,c05
scfxm2.mps,0.007428646,FALSE,,,c05
scfxm3.mps,0.013439417,FALSE,,,c05
scorpion.mps,0.003895998,FALSE,,,c05
scrs8.mps,0.011006117,TRUE,-73.58730888,109,c05
scsd1.mps,0.004922152,TRUE,8.666666674,86,c05
scsd6.mps,0.011438131,TRUE,50.50000008,270,c05
scsd8.mps,0.054492474,TRUE,904.9999999,1054,c05
sctap1.mps,0.003773212,TRUE,0,0,c05
sctap2.mps,0.021834135,TRUE,0,0,c05
sctap3.mps,0.036945343,TRUE,0,0,c05
seba.mps,0.006193399,FALSE,,,c05
share1b.mps,0.002971411,FALSE,,,c05
share2b.mps,0.001760244,FALSE,,,c05
shell.mps,0.019910097,TRUE,1209525036,326,c05
ship04l.mps,0.00976491,FALSE,,,c05
ship04s.mps,0.006843328,FALSE,,,c05
ship08l.mps,0.032209158,FALSE,,,c05
ship08s.mps,0.016853809,FALSE,,,c05
ship12l.mps,0.057154179,FALSE,,,c05
ship12s.mps,0.026770592,FALSE,,,c05
sierra.mps,0.020776033,FALSE,,,c05
stair.mps,0.003218174,FALSE,,,c05
standata.mps,0.004897594,FALSE,,,c05
standgub.mps,0.005183935,FALSE,,,c05
standmps.mps,0.005726576,FALSE,,,c05
stocfor1.mps,0.001205921,FALSE,,,c05
stocfor2.mps,0.033543587,FALSE,,,c05
stocfor3.mps,2.649478674,FALSE,,,c05
truss.mps,2.702644587,TRUE,458815.8472,18896,c05
tuff.mps,0.007855892,FALSE,,,c05
vtp.base.mps,0.00184679,FALSE,,,c05
wood1p.mps,0.071099997,TRUE,0.443135956,287,c05
woodw.mps,0.127744198,FALSE,,,c05
