mps_file,time_taken_sec,solution_found,objective_value,iterations,hostname
25fv47.mps,0.02080368995666504,False,,,c05
80bau3b.mps,0.16902780532836914,False,,,c05
adlittle.mps,0.0021026134490966797,False,,,c05
afiro.mps,0.0011744499206542969,False,,,c05
agg.mps,0.0018901824951171875,False,,,c05
agg2.mps,0.003137826919555664,False,,,c05
agg3.mps,0.0026531219482421875,False,,,c05
bandm.mps,0.1521625518798828,True,-158.62801845012,18.0,c05
beaconfd.mps,0.001958608627319336,False,,,c05
blend.mps,0.0025069713592529297,False,,,c05
bnl1.mps,0.010311603546142578,False,,,c05
bnl2.mps,0.06896686553955078,False,,,c05
boeing1.mps,0.0041484832763671875,False,,,c05
boeing2.mps,0.0013179779052734375,False,,,c05
bore3d.mps,0.0019524097442626953,False,,,c05
brandy.mps,0.007894039154052734,True,1836.307400661319,17.0,c05
capri.mps,0.005610227584838867,False,,,c05
cre-a.mps,0.2174210548400879,False,,,c05
cre-b.mps,7.6887946128845215,False,,,c05
cre-c.mps,0.15981078147888184,False,,,c05
cre-d.mps,6.814552307128906,False,,,c05
cycle.mps,0.050039052963256836,True,0.0,7.0,c05
czprob.mps,0.025563478469848633,False,,,c05
d2q06c.mps,0.09118390083312988,False,,,c05
d6cube.mps,0.2156696319580078,True,315.4916666666668,30.0,c05
degen2.mps,0.011365652084350586,False,,,c05
degen3.mps,0.07795834541320801,False,,,c05
dfl001.mps,1.3708045482635498,True,11025321.197164237,40.0,c05
e226.mps,0.002292156219482422,False,,,c05
etamacro.mps,0.003878355026245117,False,,,c05
fffff800.mps,0.005606889724731445,False,,,c05
finnis.mps,0.0034973621368408203,False,,,c05
fit1d.mps,0.018986940383911133,True,-10378.5,16.0,c05
fit1p.mps,0.03752446174621582,True,9146.378092420937,17.0,c05
fit2d.mps,0.18145537376403809,True,-77037.54999999997,18.0,c05
fit2p.mps,0.5459222793579102,True,68464.29329383218,20.0,c05
forplan.mps,0.0024099349975585938,False,,,c05
ganges.mps,0.017281770706176758,False,,,c05
gfrd-pnc.mps,0.01595783233642578,True,7362636.6349874465,16.0,c05
greenbea.mps,0.10259151458740234,False,,,c05
greenbeb.mps,0.10014057159423828,False,,,c05
grow15.mps,0.030859947204589844,True,-106870941.29357542,20.0,c05
grow22.mps,0.055402278900146484,True,-160834336.48256275,22.0,c05
grow7.mps,0.013028621673583984,True,-47787811.81471151,19.0,c05
israel.mps,0.001735687255859375,False,,,c05
kb2.mps,0.002666473388671875,True,0.0,20.0,c05
ken-07.mps,0.0947275161743164,True,-679520443.381687,15.0,c05
