mps_file,time_taken_sec,solution_found,objective_value,iterations,hostname
25fv47.mps,0.01938462257385254,False,,,c05
80bau3b.mps,0.16954469680786133,False,,,c05
adlittle.mps,0.002071857452392578,False,,,c05
afiro.mps,0.0011582374572753906,False,,,c05
agg.mps,0.001886606216430664,False,,,c05
agg2.mps,0.0026214122772216797,False,,,c05
agg3.mps,0.0026178359985351562,False,,,c05
bandm.mps,0.010708093643188477,True,-158.62801845012,482.0,c05
beaconfd.mps,0.0017848014831542969,False,,,c05
blend.mps,0.0014913082122802734,False,,,c05
bnl1.mps,0.00856781005859375,False,,,c05
bnl2.mps,0.07156538963317871,False,,,c05
boeing1.mps,0.0031540393829345703,False,,,c05
boeing2.mps,0.0013270378112792969,False,,,c05
bore3d.mps,0.0019898414611816406,False,,,c05
brandy.mps,0.004639625549316406,True,1836.307400661319,153.0,c05
capri.mps,0.005596160888671875,False,,,c05
cre-a.mps,0.20875883102416992,False,,,c05
cre-b.mps,10.183348655700684,False,,,c05
cre-c.mps,0.14185190200805664,False,,,c05
cre-d.mps,7.150241136550903,False,,,c05
cycle.mps,0.0531308650970459,True,0.0,4.0,c05
czprob.mps,0.027802705764770508,False,,,c05
d2q06c.mps,0.09324002265930176,False,,,c05
d6cube.mps,0.10319089889526367,True,315.4916666666669,433.0,c05
degen2.mps,0.009840965270996094,False,,,c05
degen3.mps,0.11330604553222656,False,,,c05
dfl001.mps,3.6873316764831543,True,11025321.19716437,13144.0,c05
e226.mps,0.0025818347930908203,False,,,c05
etamacro.mps,0.0033304691314697266,False,,,c05
fffff800.mps,0.005672454833984375,False,,,c05
finnis.mps,0.0034127235412597656,False,,,c05
fit1d.mps,0.009196758270263672,True,-10378.5,23.0,c05
fit1p.mps,0.043372154235839844,True,9146.378092420937,860.0,c05
fit2d.mps,0.09136009216308594,True,-77037.54999999997,53.0,c05
fit2p.mps,1.1719839572906494,True,68464.2932938321,4907.0,c05
forplan.mps,0.002481698989868164,False,,,c05
ganges.mps,0.019588708877563477,False,,,c05
gfrd-pnc.mps,0.011881113052368164,True,7362636.6349874465,397.0,c05
greenbea.mps,0.10126805305480957,False,,,c05
greenbeb.mps,0.10734939575195312,False,,,c05
grow15.mps,0.03419041633605957,True,-106870941.29357538,1198.0,c05
grow22.mps,0.0694739818572998,True,-160834336.48256284,1934.0,c05
grow7.mps,0.01013803482055664,True,-47787811.81471151,441.0,c05
israel.mps,0.0016927719116210938,False,,,c05
kb2.mps,0.0016338825225830078,True,0.0,68.0,c05
ken-07.mps,0.09303045272827148,True,-679520443.3816869,1242.0,c05
ken-11.mps,2.4298818111419678,True,-6972382262.519967,8786.0,c05
ken-13.mps,9.175459861755371,True,-10257394789.482454,17162.0,c05
lotfi.mps,0.004013538360595703,True,252.8914553912827,119.0,c05
maros-r7.mps,0.7831325531005859,True,1497185.1664796446,2457.0,c05
maros.mps,0.011278629302978516,False,,,c05
modszk1.mps,0.022961139678955078,True,109301.46068426793,548.0,c05
nesm.mps,0.018283843994140625,False,,,c05
osa-07.mps,0.2443852424621582,False,,,c05
osa-14.mps,0.9163239002227783,False,,,c05
pds-02.mps,0.19577455520629883,False,,,c05
pds-06.mps,2.0220093727111816,False,,,c05
pds-10.mps,5.6971330642700195,False,,,c05
perold.mps,0.009094953536987305,False,,,c05
pilot.ja.mps,0.015758514404296875,False,,,c05
pilot.mps,0.041811466217041016,False,,,c05
pilot.we.mps,0.017798662185668945,False,,,c05
pilot4.mps,0.004909515380859375,False,,,c05
pilot87.mps,0.07662200927734375,False,,,c05
pilotnov.mps,0.017291545867919922,False,,,c05
qap12.mps,76.57884669303894,True,522.8943505590606,254330.0,c05
qap15.mps,1430.3846232891083,False,,,c05
qap8.mps,0.43468403816223145,True,203.49999999999972,7215.0,c05
recipe.mps,0.0021619796752929688,True,-266.616,22.0,c05
sc105.mps,0.0017862319946289062,False,,,c05
sc205.mps,0.0032176971435546875,False,,,c05
sc50a.mps,0.001271963119506836,False,,,c05
sc50b.mps,0.0011563301086425781,False,,,c05
scagr25.mps,0.003143787384033203,False,,,c05
scagr7.mps,0.0011436939239501953,False,,,c05
scfxm1.mps,0.002656698226928711,False,,,c05
