mps_file,time_taken_sec,solution_found,objective_value,iterations,hostname
bgindy.mps,0.29819178581237793,False,,,c05
bgdbg1.mps,0.002422332763671875,False,,,c05
bgetam.mps,0.0031270980834960938,False,,,c05
box1.mps,0.0017614364624023438,False,,,c05
bgprtr.mps,0.0010762214660644531,False,,,c05
ceria3d.mps,0.02139115333557129,False,,,c05
cplex2.mps,0.004873037338256836,False,,,c05
cplex1.mps,0.08723998069763184,False,,,c05
chemcom.mps,0.0037491321563720703,False,,,c05
ex73a.mps,0.0014989376068115234,False,,,c05
forest6.mps,0.0013003349304199219,True,0.0,0.0,c05
ex72a.mps,0.0015118122100830078,False,,,c05
galenet.mps,0.0007402896881103516,False,,,c05
gosh.mps,0.29084086418151855,False,,,c05
gran.mps,0.06664609909057617,False,,,c05
itest2.mps,0.0008528232574462891,False,,,c05
greenbea.mps,0.0942392349243164,False,,,c05
itest6.mps,0.0010843276977539062,True,77500.0,0.0,c05
klein1.mps,0.0016636848449707031,True,0.0,59.0,c05
klein2.mps,0.0041921138763427734,True,0.0,61.0,c05
klein3.mps,0.010955810546875,True,0.0,116.0,c05
mondou2.mps,0.002790689468383789,False,,,c05
pang.mps,0.0023713111877441406,False,,,c05
qual.mps,0.006354093551635742,False,,,c05
pilot4i.mps,0.004487752914428711,False,,,c05
reactor.mps,0.0034334659576416016,False,,,c05
refinery.mps,0.00518345832824707,False,,,c05
vol1.mps,0.008737564086914062,False,,,c05
woodinfe.mps,0.0008976459503173828,False,,,c05
